species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Abiotrophia_defectiva,,2.0,,,,,,11.0,,4.0,,,,2.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,14.0,
Acidaminococcus_intestini,,,,13.0,,,,,,,,,,,,,,,,,,,4398.0,,,553.0,,,,,1.0,,,,,53.0,57.0
Acidilutibacter_cellobiosedens,,,,,212.0,20.0,612.0,,,,,,,,,,,5.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,
Actinomyces_israelii,,,52.0,4.0,3.0,6.0,3.0,10.0,,,,,1.0,,,,,,,,193.0,,,,,49.0,,1.0,1.0,7.0,,17.0,,,24.0,,53.0
Actinomyces_massiliensis,5.0,1.0,,3.0,10.0,31.0,,,,8.0,14.0,4.0,2.0,14.0,20.0,,4.0,2.0,20.0,3.0,5.0,,4.0,,15.0,,,2.0,,,,,,,,15.0,
Actinomyces_naeslundii,23.0,50.0,,54.0,,,,,,67.0,31.0,19.0,86.0,17.0,83.0,8.0,62.0,48.0,64.0,12.0,21.0,,45.0,9.0,42.0,228.0,,,,,,,31.0,,,16.0,33.0
Actinomyces_oris,65.0,116.0,159.0,27.0,76.0,318.0,282.0,,,39.0,69.0,,58.0,,130.0,12.0,179.0,104.0,88.0,30.0,34.0,,100.0,46.0,39.0,486.0,,17.0,,80.0,,,157.0,,102.0,45.0,68.0
Actinomyces_pacaensis,5.0,13.0,,,,,,13.0,6.0,20.0,,,2.0,1.0,1.0,,1.0,3.0,4.0,,,1.0,1.0,,,24.0,,2.0,,,,,,,3.0,24.0,
Actinomyces_radicidentis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
Actinomyces_sp._HMT897,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces_sp._HMT_175,,,51.0,,,23.0,,,,,,,,,,,,,,,,,59.0,,,138.0,,,,,,,,,,,
Actinomyces_sp._oral_taxon_169,,,87.0,41.0,6.0,25.0,57.0,25.0,,,11.0,,,,,,,11.0,,,53.0,,,,14.0,140.0,,13.0,,,,,,,97.0,,
Actinomyces_sp._oral_taxon_171,,8.0,,,7.0,33.0,44.0,,,,,7.0,,,4.0,,6.0,10.0,,,,,19.0,,,,,,,,,,,,,14.0,
Actinomyces_sp._oral_taxon_414,,,,,,,,4.0,,2.0,,,,,,1.0,,,,,7.0,,1.0,,2.0,,,,,,,4.0,,,,,2.0
Actinomyces_viscosus,,,,,,,,,,,,,,,9.0,,,,,,,,,,3.0,5.0,,,,2.0,,,,,,,
Actinomyces_wuliandei,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Acutalibacter_muris,,1.0,1.0,4.0,,,,2.0,6.0,,,,4.0,,,,1.0,1.0,,,,,,,,,,,,2.0,3.0,,,,,,
Adlercreutzia_equolifaciens,179.0,237.0,,903.0,112.0,355.0,110.0,,,253.0,126.0,51.0,221.0,27.0,140.0,48.0,158.0,70.0,210.0,42.0,319.0,,335.0,117.0,410.0,,,29.0,,,9.0,,149.0,,,35.0,243.0
Adlercreutzia_hattorii,11067.0,17600.0,,2459.0,48352.0,134080.0,55031.0,,,2497.0,8036.0,4272.0,13738.0,2123.0,11473.0,3777.0,9687.0,5358.0,13762.0,2274.0,4475.0,4.0,1503.0,8859.0,740.0,3.0,,12246.0,,,54.0,,9060.0,1.0,,238.0,487.0
Aequoribacter_fuscus,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerococcus_urinaeequi,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Aerococcus_viridans,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,
Aeromonas_allosaccharophila,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,,694.0,,,,,
Afonbuvirus_coli,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,
Agathobacter_rectalis,25598.0,15952.0,8179.0,17485.0,16.0,53.0,19.0,1985.0,315.0,78824.0,7366.0,3539.0,9434.0,3482.0,14605.0,1268.0,6862.0,23890.0,2461.0,2299.0,290.0,29.0,55275.0,297.0,21401.0,647.0,,315.0,24.0,14579.0,103.0,1147.0,1124.0,,416.0,20230.0,434.0
Agathobaculum_sp._NTUH-O15-33,17.0,4.0,,1.0,,,,104.0,,20.0,18.0,6.0,42.0,13.0,43.0,3.0,44.0,130.0,12.0,216.0,69.0,,27.0,10.0,2.0,,,,,,,,6.0,,,25.0,87.0
Aggregatibacter_aphrophilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Agrococcus_beijingensis,,,,,,,,,,8.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,
Akkermansia_massiliensis,,,,,,,,,,,,,,,,,,,,,,276.0,,,,,,,,,,,,,,,
Akkermansia_muciniphila,,,1.0,14690.0,,6.0,,,,7.0,,,,,,,1.0,,2.0,1.0,1.0,7.0,34421.0,,20074.0,,,35.0,1.0,,3983.0,,,88.0,,27060.0,13949.0
Akkermansia_sp._AE01SA01,63.0,324.0,,,,,,,,,284.0,135.0,452.0,66.0,148.0,17.0,408.0,214.0,123.0,19029.0,,,,204.0,,,,,,,,,301.0,,,,
Akkermansia_sp._EB-AMDK43,,,,,,,,,,,,,,,,,,,,,,,,,2045.0,,,,,,,,,,,,
Akkermansia_sp._RCC_12PD,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,
Alistipes_communis,4003.0,,7.0,6092.0,1.0,,,208.0,,984.0,10457.0,6230.0,18490.0,4037.0,4238.0,1743.0,399.0,,,,41.0,,1861.0,,437.0,130.0,,,,,103.0,,,4.0,,780.0,9506.0
Alistipes_dispar,,,,6.0,,,,,,,,,,,,,,,,,15.0,,190.0,,,,,,,,,,,,,1.0,38.0
Alistipes_finegoldii,30.0,,,37.0,,3.0,,4134.0,,7490.0,26031.0,17714.0,5188.0,8567.0,21897.0,3135.0,20.0,,,,1551.0,2.0,548.0,,4972.0,6.0,,,,,,,,,,4996.0,5412.0
Alistipes_ihumii,,,1.0,1803.0,,,,,,5.0,,,,,,,,,,,,1.0,449.0,,2351.0,,,,,,35.0,,,1.0,,371.0,1827.0
Alistipes_indistinctus,,,,,,,,,,181.0,,,,,,,,,,,,,59.0,,60.0,,,,,,,,,,,132.0,802.0
Alistipes_megaguti,1.0,4.0,,,,,,,42.0,,5.0,,1.0,,,,10.0,201.0,,,752.0,,,23.0,3.0,,,,,,,,,,,43.0,1.0
Alistipes_onderdonkii,118.0,16.0,15.0,41883.0,,,,11430.0,,28453.0,880.0,473.0,472.0,295.0,607.0,113.0,34.0,,70.0,,8495.0,7.0,1682.0,,562.0,3.0,,,,,7327.0,,232.0,71.0,,33951.0,291362.0
Alistipes_senegalensis,,28.0,,32.0,,,,2.0,,10.0,10.0,5.0,4.0,5.0,13.0,1.0,,,40.0,16.0,2.0,,650.0,,238.0,2.0,,,,,,,,,,1688.0,192.0
Alistipes_shahii,,31.0,,3290.0,,11.0,,,,15500.0,13.0,6.0,15.0,,7.0,,21.0,,,,611.0,,14827.0,,17120.0,573.0,,,,,236.0,,,,,2625.0,5517.0
Alistipes_sp._dk3624,,,,,,,,,,1754.0,,,,,,,,,,,,,577.0,,,,,,,,,,,,,152.0,
Alkalibacterium_putridalgicola,,,,,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocoprobacillus_halotolerans,1.0,,,4.0,12.0,5.0,11.0,,,,1.0,,2.0,,,,2.0,1.0,1.0,1.0,14.0,10.0,,,2.0,,2.0,15.0,,,,,1.0,,,,
Amedibacterium_intestinale,20.0,6.0,,349.0,8.0,1.0,4.0,7.0,2.0,8.0,3.0,6.0,3.0,1.0,11.0,3.0,1.0,14.0,9.0,1.0,228.0,5.0,24.0,1.0,35.0,5.0,,6.0,5.0,,2.0,,1.0,,5.0,,3.0
Aminipila_luticellarii,,,,1.0,,,44.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphibacillus_xylanus,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amygdalobacter_nucleatus,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaerobutyricum_hallii,9338.0,8759.0,3255.0,16675.0,12.0,21.0,6.0,185.0,251.0,17389.0,9228.0,3930.0,17706.0,3221.0,25587.0,3531.0,20558.0,311.0,13064.0,3969.0,8219.0,1513.0,12022.0,4201.0,16523.0,38763.0,2.0,33.0,10.0,2786.0,579.0,1046.0,3558.0,3.0,436.0,15228.0,29210.0
Anaerococcus_mediterraneensis,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Anaerococcus_nagyae,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Anaerococcus_obesiensis,,,,,,,,,,,,,,,,,,,,,,74.0,,,,741.0,,,,,,,,,,,
Anaerococcus_prevotii,,,,,,,1.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,15.0,,,,1.0,
Anaerococcus_vaginalis,,,,,,,,,,,,,,,,,,,,,,12.0,,,,769.0,,,,,,,,,,,
Anaerocolumna_cellulosilytica,,,,,3.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaeropeptidivorans_aminofermentans,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
Anaerostipes_caccae,,1.0,,11.0,44.0,21.0,345.0,1403.0,133.0,17.0,,,3.0,,5.0,,2.0,5.0,,,953.0,1071.0,21.0,1.0,2.0,6532.0,,521.0,,,,,,,140.0,20.0,86.0
Anaerostipes_hadrus,5870.0,1993.0,1.0,7779.0,247.0,1060.0,24.0,7.0,1.0,32301.0,7896.0,2805.0,13883.0,3653.0,28228.0,5562.0,5758.0,40182.0,8607.0,523.0,6.0,3869.0,14151.0,2665.0,8464.0,259.0,,6200.0,4.0,,404.0,1.0,422.0,4.0,4.0,9896.0,9774.0
Anaerostipes_rhamnosivorans,,,,,,,,,22.0,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,
Anaerostipes_sp._PC18,4.0,,,,2.0,68.0,611.0,6.0,2820.0,,29.0,5.0,38.0,19.0,39.0,2.0,32.0,,1.0,1.0,1.0,1.0,,3.0,,130.0,,583.0,,1.0,,,7.0,,,1.0,1.0
Anaerotignum_sp._MB30-C6,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaerotruncus_colihominis,1947.0,3370.0,48.0,5127.0,130.0,1062.0,322.0,253.0,3454.0,513.0,1225.0,517.0,4855.0,318.0,1257.0,402.0,3804.0,873.0,4454.0,1849.0,112.0,925.0,779.0,1874.0,482.0,10.0,,5856.0,,26.0,251.0,8.0,1467.0,,28.0,1765.0,5335.0
Arachnia_propionica,,,4.0,,,,,3.0,,6.0,,,,,1.0,,,,,,5.0,,,,,4.0,,,,,,,,,,1.0,
Arachnia_rubra,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Atopobium_sp._oral_taxon_416,,,,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,1.0,,
Bacillus_cereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,19.0,
Bacillus_paralicheniformis,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
Bacteroides_caccae,,,,77213.0,,4.0,,288.0,153697.0,9042.0,1.0,4.0,1.0,,4.0,1.0,,,,,59973.0,42.0,9534.0,,8150.0,,,,59.0,,3208.0,,1.0,40.0,8.0,5240.0,1357.0
Bacteroides_caecimuris,,,,18.0,,,,,670.0,147.0,,,,,,,,,,2.0,1.0,,266.0,,89.0,,,,57.0,,,,,,7.0,2.0,38.0
Bacteroides_cellulosilyticus,8.0,,,,,,,10499.0,,12721.0,25.0,18.0,24.0,4.0,12.0,,7.0,,,,252.0,,66.0,,92.0,126.0,,,,,,,,,,2268.0,172.0
Bacteroides_eggerthii,42.0,2.0,,45536.0,19.0,11.0,5.0,5.0,1050.0,611.0,88.0,52.0,127.0,14.0,11.0,6.0,17.0,,4.0,18.0,525.0,3.0,1542.0,32.0,37693.0,,,41.0,,,8120.0,,,65.0,12.0,,18.0
Bacteroides_faecis,168.0,27.0,,183.0,686.0,155.0,645.0,143307.0,1934.0,52858.0,205.0,133.0,297.0,172.0,175.0,10.0,68.0,,,118.0,9039.0,1.0,50280.0,86.0,79.0,,,344.0,17.0,,72.0,,14.0,5.0,,35.0,70.0
Bacteroides_faecium,19.0,26.0,,29.0,,,,2.0,199.0,15.0,12.0,6.0,20.0,2.0,3.0,,16.0,13.0,29.0,810.0,,,4.0,20.0,29.0,,,,,,2.0,,10.0,,1.0,,
Bacteroides_finegoldii,49.0,3.0,,,,,,23.0,854.0,8965.0,72.0,25.0,111.0,41.0,74.0,,45.0,,,26.0,162.0,,3242.0,26.0,609.0,,,,,,,,3.0,,34.0,82.0,67.0
Bacteroides_fragilis,1010.0,562.0,,591.0,1463.0,464.0,838.0,17389.0,309315.0,1502.0,882.0,537.0,816.0,2227.0,1907.0,13.0,1001.0,314.0,796.0,1227.0,62051.0,196610.0,1282.0,291.0,486.0,1580.0,6.0,3117.0,7.0,,81.0,,128.0,4.0,205.0,217.0,11057.0
Bacteroides_helcogenes,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,8.0,,,3.0,,,,,,,,,,,
Bacteroides_heparinolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,
Bacteroides_humanifaecis,368.0,81.0,,7053.0,,,,173.0,,8311.0,706.0,526.0,1463.0,92.0,436.0,52.0,286.0,,,286.0,497.0,,3376.0,243.0,38.0,,,39.0,,,693.0,,,,1165.0,686.0,1588.0
Bacteroides_intestinalis,,,,,,1.0,,13.0,473.0,,,,1.0,,,,,,,,,,43.0,,3451.0,1.0,,,,,,,,,,17.0,6.0
Bacteroides_luhongzhouii,2.0,2.0,,,,,,5.0,1137.0,19.0,2.0,,10.0,,,,4.0,,2.0,78.0,,,53.0,4.0,,,,,,,,,2.0,,11.0,13.0,4.0
