species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Abiotrophia_defectiva,1.0,3.0,,,,,1.0,64.0,,24.0,9.0,1.0,,5.0,21.0,1.0,2.0,3.0,10.0,3.0,,11.0,1.0,2.0,,10.0,,,,,,,1.0,,,76.0,
Aceticella_autotrophica,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,
Acetivibrio_clariflavus,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,
Acetivibrio_saccincola,,,,,,,28.0,,,,,1.0,,,,,2.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,
Acetivibrio_thermocellus,,,1.0,,,,198.0,,1.0,,1.0,,,,2.0,,,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,
Acetobacter_aceti,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
Acetobacterium_wieringae,,1.0,,,2.0,,21.0,1.0,1.0,1.0,,,1.0,,,,1.0,3.0,1.0,,,3.0,,,,2.0,,,,,,,,,,,
Acetobacterium_woodii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Acetohalobium_arabaticum,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetomicrobium_mobile,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
