species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Abiotrophia_defectiva,,2.0,,,,,,11.0,,4.0,,,,2.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,14.0,
Acidaminococcus_intestini,,,,13.0,,,,,,,,,,,,,,,,,,,4618.0,,,570.0,,,,,1.0,,,,,53.0,58.0
Acidilutibacter_cellobiosedens,,,,,225.0,21.0,619.0,,,,,,,,,,,5.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,
Actinomyces_israelii,,,54.0,4.0,3.0,8.0,3.0,12.0,,,,,1.0,,,,,,,,191.0,,,,,51.0,,1.0,1.0,7.0,,18.0,,,25.0,,53.0
Actinomyces_massiliensis,5.0,1.0,,3.0,10.0,33.0,,,,8.0,14.0,4.0,2.0,14.0,20.0,,4.0,2.0,21.0,3.0,5.0,,4.0,,15.0,,,2.0,,,,,,,,16.0,
Actinomyces_naeslundii,23.0,50.0,,54.0,,,,,,69.0,32.0,19.0,86.0,17.0,92.0,8.0,68.0,49.0,65.0,12.0,19.0,,51.0,9.0,42.0,235.0,,,,,,,31.0,,,20.0,33.0
Actinomyces_oris,65.0,117.0,161.0,27.0,78.0,326.0,289.0,,,41.0,70.0,,58.0,,129.0,13.0,178.0,109.0,89.0,31.0,30.0,,105.0,48.0,39.0,489.0,,18.0,,82.0,,,159.0,,104.0,52.0,70.0
Actinomyces_pacaensis,5.0,13.0,,,,,,13.0,6.0,22.0,,,2.0,1.0,1.0,,1.0,3.0,5.0,,,1.0,1.0,,,25.0,,2.0,,,,,,,3.0,24.0,
Actinomyces_radicidentis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
Actinomyces_sp._HMT897,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
