# Pathway	28-7A-1-1_Abundance
UNMAPPED	1718460.8648710393
UNINTEGRATED	4382282.5874820901
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	1212908.9614775376
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	1113990.0972381253
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	581912.5851615856
UNINTEGRATED|unclassified	353065.6633157173
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	123812.8838661044
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	101398.2385504528
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	101245.4381869183
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	94966.5002613944
UNINTEGRATED|g__Blautia.s__Blautia_obeum	94101.2791680003
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	62788.3876294116
UNINTEGRATED|g__Dialister.s__Dialister_invisus	61246.7340407526
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	49774.4840302298
UNINTEGRATED|g__Blautia.s__Blautia_sp	48257.5391148850
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	39639.3591209691
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	27431.2073725600
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	26615.0762534557
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	26229.0990906430
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	26008.9641528258
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	25996.4386700095
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	25093.1393971643
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	24464.6477038434
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	23561.3860005586
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	22303.3905607012
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	17314.1296924392
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	17128.6756781883
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	16319.7753158376
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	12573.2721345001
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	12368.9630682007
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	10304.4193789715
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	9617.2622179960
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	9176.0226593466
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	7942.7480168718
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	7699.7336514117
UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	7644.1267598094
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	7190.4673271017
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	6488.4960079769
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	5896.7036180281
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	4999.6687373909
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	4203.5895106468
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	4095.5624392598
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	3835.8997892011
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	2318.7942497897
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	2072.0412630435
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	1635.1969571901
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_AF17_7	1406.4301291214
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1087.2987087026
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0.0000000000
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	3628.5871487140
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	1155.0752094088
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	803.8939929193
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	409.5816783553
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	394.5512279628
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	119.7979533296
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	98.8123212027
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	85.0471668161
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	84.4647107566
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	76.9640377290
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	36.6485639190
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	34.7997326128
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	33.4032859444
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	29.4151444138
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	27.3576412087
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	22.5178856214
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	22.3208932162
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	15.1244104543
