# Pathway	29-7A_Abundance
UNMAPPED	1117577.7014309845
UNINTEGRATED	3240909.2519122455
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	1059094.1703642404
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	1016227.8608436531
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	444065.7135671806
UNINTEGRATED|unclassified	251220.9354024990
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	82346.8330786871
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	70462.6943206397
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	56658.1451473307
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	44580.7604983446
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	40427.0026278838
UNINTEGRATED|g__Blautia.s__Blautia_obeum	38483.1715764502
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	28821.4089911407
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	27773.6125473727
UNINTEGRATED|g__Dialister.s__Dialister_invisus	26163.3913078498
UNINTEGRATED|g__Blautia.s__Blautia_sp	21483.1668134273
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	18198.6288916491
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	16783.6617231151
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	16676.5581560770
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	15561.5936149329
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	13986.4694656839
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	13130.4999660392
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	11005.7032850059
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	10193.3839264623
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	9689.5179753846
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	8733.8993159424
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	8455.5634814897
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	7841.3943858716
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	7044.4833366982
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	6948.0422389314
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	4843.9727831319
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	4693.7097949345
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	4667.8712496576
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	4236.2371206932
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	4187.1499730262
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2150.6713490072
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	1351.7696664361
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_AF17_7	1080.5141484147
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	611.6509649085
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	424.5312251555
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0.0000000000
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	2874.4492806101
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	1027.5892114326
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	741.5951023148
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	308.5509937501
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	256.8782518095
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	95.4702403370
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	67.8230422938
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	44.8913899122
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	25.7186480804
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	25.3962410270
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	24.4703932686
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	19.5080256287
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	18.5095475827
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	18.0328164075
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	13.7278457474
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	13.3179814370
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	13.1455642827
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	7.3348746484
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Clostridium.s__Clostridium_sp_CAG_58	4.8221431191
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	4.2696975256
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_sp_AF17_7	2.8636210834
PWY-1042: glycolysis IV	2303.0492743423
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	891.3955049161
PWY-1042: glycolysis IV|unclassified	250.1729258725
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	79.8067719904
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	67.4579245727
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	44.9421599594
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	36.1270569057
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	23.9014006660
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	20.5667302726
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.0810053684
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	2223.9105093286
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	803.2316015362
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	462.7836949591
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	128.6132678261
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	122.9549722938
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	64.2815354824
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Dorea.s__Dorea_longicatena	39.3135204735
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	30.4127266919
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	15.9771373003
