# Pathway	30-8B_Abundance
UNMAPPED	643178.3872617587
UNINTEGRATED	1965939.4424296168
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	613220.2045530902
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	449840.5097008656
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	256879.2201397141
UNINTEGRATED|unclassified	116767.2737601680
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	105205.7968633227
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	56243.5211587152
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	50278.0336082238
UNINTEGRATED|g__Blautia.s__Blautia_obeum	38760.1280989543
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	32187.2924118718
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	30681.9690953920
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	23450.0839337157
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	19119.1966220014
UNINTEGRATED|g__Dialister.s__Dialister_invisus	17103.1045629253
UNINTEGRATED|g__Blautia.s__Blautia_sp	15818.3503558632
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	13492.4893784883
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	13333.8261066875
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	12462.3698823603
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	10776.4340268029
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	10509.9532995617
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	10058.3510914750
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	9874.4941798163
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	9748.1906921956
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	5981.7740330639
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	5825.2999403076
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	5747.4413490599
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	4669.7296353757
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	4603.9261159125
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	4185.7903683541
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	3740.3942619338
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	3200.6336747807
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	2390.4749317322
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1863.8660264872
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	1147.5723135406
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_AF17_7	754.8390736376
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	1707.7817212599
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	474.5071338226
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	430.4457627581
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	214.8696388936
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	118.9387097713
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	92.3522135599
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	57.8920036884
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	48.4374551636
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	41.7811905257
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	34.4638370190
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	28.7215821536
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	23.6967711613
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	20.3113999578
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	16.2699740062
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	12.6950441469
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	10.4624831022
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.2478398589
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.7000097802
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_sp_AF17_7	3.4114819995
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1236.7379687973
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	255.3637439031
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	211.6102132440
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	95.3437768828
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	39.9650020732
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	35.7817056686
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	13.7642469814
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	9.6304040833
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	8.5067583127
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	6.8085613453
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	4.7854062685
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	3.5290052342
PWY-7238: sucrose biosynthesis II	1172.3117891927
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	328.4993988673
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	80.5867326782
PWY-7238: sucrose biosynthesis II|unclassified	69.2505067349
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	66.6236963191
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	65.7683050074
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	60.8647505040
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	58.3102076569
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	34.3017840039
PWY-7238: sucrose biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	28.0200012171
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	23.1755479577
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	21.8688556779
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	19.3077313924
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp	19.0847578313
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_faecis	16.1364170552
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	15.1340613401
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	13.5223500097
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	11.4033265899
PWY-7238: sucrose biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	8.6452898127
PWY-7238: sucrose biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	3.7733380448
PWY-7238: sucrose biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.4737145808
PWY-1042: glycolysis IV	1166.8944280972
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	386.5258935840
PWY-1042: glycolysis IV|unclassified	70.8024743277
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	53.7045104505
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	35.2121886908
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	28.8556478604
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	25.5489973602
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	24.1303547052
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	17.8702520502
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_faecis	15.7001459812
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1165.4479171548
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	306.5605141765
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	281.7457337038
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	105.2757110902
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	48.2657503729
