# Pathway	33-6-2_Abundance
UNMAPPED	1388361.8396027314
UNINTEGRATED	2054598.1840812264
UNINTEGRATED|unclassified	242011.1420982837
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	228796.3118801012
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	168022.7456902908
UNINTEGRATED|g__Blautia.s__Blautia_obeum	145201.2793976914
UNINTEGRATED|g__Dialister.s__Dialister_invisus	113300.9653135248
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	109345.1498067151
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	102405.5809234236
UNINTEGRATED|g__Blautia.s__Blautia_sp	86728.9886497344
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	82953.2430040603
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	57194.8003285891
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	55764.4615922402
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	50628.4494336924
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	49863.0527863067
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	39212.7720384892
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	37415.1797730790
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	28651.1105871857
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	27948.3103955621
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	24367.0545719995
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	21199.6958663341
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	17749.1110430310
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	17609.0407299697
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	11539.6680903593
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	11067.4827947440
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	10921.0682412947
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	9332.6334295029
