# Pathway	42-51-1B_Abundance
UNMAPPED	1521747.5455571949
UNINTEGRATED	3608407.1889822721
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	1578733.1842781466
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	533538.8007907460
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	407017.2642617112
UNINTEGRATED|unclassified	387379.9983368522
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	91261.3518983078
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	85161.2445248748
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	69718.2372492645
UNINTEGRATED|g__Blautia.s__Blautia_obeum	60554.1154925445
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	49290.9875363244
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	44612.9278678774
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	40574.0309967210
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	38957.9233250312
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	38677.0656235813
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum	33451.8491521282
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	29528.4314150101
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	20715.4476296914
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	19793.6110186978
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	19491.8839677911
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	18857.5706563526
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum	16198.4290181652
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	14158.5142391612
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	12540.1722269916
