# Pathway	28-7A-1-1_Abundance
UNMAPPED	902644.2244437977
UNINTEGRATED	2664917.9239195362
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	716802.5401955678
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	665346.5960361636
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	354245.4699570004
UNINTEGRATED|unclassified	216273.1482240372
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	76141.2785636721
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	66654.1821011029
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	58921.5518595691
UNINTEGRATED|g__Blautia.s__Blautia_obeum	58065.7979580711
UNINTEGRATED|g__Dialister.s__Dialister_invisus	37149.1547459763
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	36491.9602249389
UNINTEGRATED|g__Blautia.s__Blautia_sp	29127.7035622513
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	24401.2632646012
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	23790.3715959375
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	16220.5595379716
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	16193.2565418969
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	16114.0681870523
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	15454.7042982080
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	14995.9852297171
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	14794.8936009037
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	14450.1896439413
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	13432.4628418843
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	11033.2806878142
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	10271.4358243813
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	10044.1829845035
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	6825.8406290951
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	6704.4203342393
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	6249.0276102341
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	5253.3789105542
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	4741.7439639841
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	4684.1154967348
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	4468.7364740566
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	4284.5560882192
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	4060.0163455144
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	3268.1383859802
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	2604.2785977870
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2486.1335417392
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	2402.7364082368
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	1612.0443050571
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	1145.1873244477
