# Pathway	29-7A_Abundance
UNMAPPED	630687.2737945417
UNINTEGRATED	2027313.2290549346
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	642820.3715444849
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	617776.9250752900
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	274152.5259411376
UNINTEGRATED|unclassified	150555.5873348895
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	54540.3903203345
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	41761.4610553587
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	35484.9112997120
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	29391.8516675530
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	27473.1682696089
UNINTEGRATED|g__Blautia.s__Blautia_obeum	25017.2738863534
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	18097.2985400016
UNINTEGRATED|g__Dialister.s__Dialister_invisus	16342.6868539877
UNINTEGRATED|g__Blautia.s__Blautia_sp	13130.7180742052
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	11373.1413109493
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	10788.3363911576
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	10481.4698346818
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	10476.2032873179
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	10447.2961488526
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	8339.1818899414
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	7864.0804106024
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	7860.1159398919
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	7233.6575334909
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	6394.0449020935
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	6060.0526921452
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	5946.0916457700
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	5183.8802387378
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	4414.7589098590
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	3950.8556141589
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	3115.9834256777
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	2920.0429973248
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	2627.3910768634
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	2580.4168116555
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	2148.2942784215
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	1394.2328947251
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_AF17_7	650.8145820848
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	367.9751979150
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	300.6079952360
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0.0000000000
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	1689.5375898079
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	562.2666336635
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	438.6672441991
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	194.8743995716
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	157.8528868366
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	64.0539067007
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	46.4325639742
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	24.8011206984
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	17.5953279780
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	14.4194940306
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	12.6236825387
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	11.2491283299
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	9.5610541725
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	9.1018589887
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	8.6443318285
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	8.1778539036
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	7.7989203818
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.0946393296
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_sp_AF17_7	1.8296349716
PWY-1042: glycolysis IV	1386.0861520585
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	505.0902128288
PWY-1042: glycolysis IV|unclassified	164.9534985390
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	53.8166039691
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	42.8949081141
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	24.6617109601
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	20.3116088241
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	14.0900767370
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	11.9537850356
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	1296.7798764524
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	459.9932691222
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	255.0005362325
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	75.8637602858
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	65.1804907418
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	33.9627830118
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Dorea.s__Dorea_longicatena	22.0274948284
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	15.9288896943
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	9.2421884178
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Ruminococcus.s__Ruminococcus_bicirculans	7.8214650377
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	7.0105581894
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	5.9384593026
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Parabacteroides.s__Parabacteroides_merdae	4.5707777814
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Parasutterella.s__Parasutterella_excrementihominis	3.9965319688
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1.0249976105
PWY-7199: pyrimidine deoxyribonucleosides salvage	1274.5595996768
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_vulgatus	412.0752933152
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_uniformis	378.3000446140
