# Pathway	3-MDcol002-5-1_Abundance
UNMAPPED	1054449.8175429986
UNINTEGRATED	2771711.1334321848
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	658787.2244416997
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	502390.7484258435
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	399946.2926393678
UNINTEGRATED|unclassified	308745.1940578969
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	102716.1811699611
UNINTEGRATED|g__Blautia.s__Blautia_obeum	68976.0405007811
UNINTEGRATED|g__Dialister.s__Dialister_invisus	52791.3513855529
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	42282.0045630600
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	39530.0052688609
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	37023.1644015300
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	32457.6642008792
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	29746.5503155158
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	28002.5474561970
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	27499.5753183791
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	27014.7962070746
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	24683.1841182141
UNINTEGRATED|g__Blautia.s__Blautia_sp	23254.9394546098
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	22676.3829890816
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	17711.8865447024
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	16589.5251126460
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	16544.3487546602
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	16526.7352438614
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	15841.2548508080
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	14785.1065286243
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	13851.4385504859
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	13423.0215700286
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	12462.8217451953
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	12391.4017083879
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	9754.3281572903
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	9261.3884408965
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	9158.5343584486
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	9046.9523283887
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	8349.0646143906
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	7720.5499406351
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_asparagiforme	6962.3857015314
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	6870.1131182825
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	5891.2120022563
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	5504.4600313339
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	4938.4722004265
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	4069.8753687866
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	3885.2308963706
UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	3660.8057909315
UNINTEGRATED|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	3023.8437547014
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	2749.6353403605
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2339.0176566377
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	2276.7599309148
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	1910.3029982884
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	1621.0235733502
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	1498.0439520414
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1104.0319954514
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	212.3240458323
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	2042.6170270394
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	448.5188125873
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	427.8972054180
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	410.7058363679
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	342.8046770132
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	70.3276092826
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	53.1374080575
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	34.0855094089
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	30.4436298959
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	28.6993791166
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	28.6573407900
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	27.2905334665
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	25.2466651094
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	21.9573792778
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	19.2467838574
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	19.1986632420
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	14.1020392716
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	11.7477754381
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	7.0486238197
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Hungatella.s__Hungatella_hathewayi	5.6157881491
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_257	4.9188228711
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.6974152029
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Erysipelatoclostridium.s__Clostridium_innocuum	3.3567684261
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	2.4035589635
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp	2.3599897616
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	2.1129374254
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1944.1670565777
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	555.8207771671
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	312.7804418594
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	286.9669644363
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	132.8293389190
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	103.2515773255
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	53.7127421444
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	37.3239299209
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	26.2365744272
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	26.0836333651
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	23.4717559130
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	22.4591215115
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	21.6626869889
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	11.7674001901
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	10.7128958106
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	10.2225972352
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Erysipelatoclostridium.s__Clostridium_innocuum	7.4410786686
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Hungatella.s__Hungatella_hathewayi	7.0026803218
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	6.5599318423
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	5.3807108081
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	5.2787685089
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	4.0601567957
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	4.0343675632
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2.1766908501
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	1.3509181586
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	1.1899038452
PWY-1042: glycolysis IV	1927.6426023291
