# Pathway	30-8B_Abundance
UNMAPPED	364662.4110390733
UNINTEGRATED	1176143.9036636578
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	357642.2025757609
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	265896.8041262922
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	154126.9617067419
UNINTEGRATED|unclassified	65569.9766124246
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	63482.6125597895
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	34678.5019418647
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	31632.9260959791
UNINTEGRATED|g__Blautia.s__Blautia_obeum	24171.9480266244
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	18695.6640587590
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	13290.0098913924
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	11649.1932694453
UNINTEGRATED|g__Dialister.s__Dialister_invisus	10595.2504341503
UNINTEGRATED|g__Blautia.s__Blautia_sp	9236.0260970154
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	7869.4559800440
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	6724.9690848141
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	6123.8485460221
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	6058.1795018971
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	6043.1018061131
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	6041.4390641711
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	5805.6301152359
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	5684.5643121670
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5490.2731915874
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	4176.5955122234
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	3229.7578862374
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	2999.9382641119
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	2639.9908878905
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	2595.1468378855
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	2573.1508846199
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1840.6207027216
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	1804.8143190978
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	1800.2166632340
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	1632.8321970386
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	793.7603212304
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	982.7738797494
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	248.1419790635
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	243.2984488055
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	130.0446707835
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	55.8539322687
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	48.0073531474
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	38.9955345037
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	32.4644827073
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.7281625242
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	17.9801756659
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	17.3196691770
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	14.2370640478
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	11.5147397990
