# Pathway	33-6-2_Abundance
UNMAPPED	683345.0439489323
UNINTEGRATED	1265336.0464322043
UNINTEGRATED|unclassified	150448.3492593408
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	136902.0247368967
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	105202.3789498679
UNINTEGRATED|g__Blautia.s__Blautia_obeum	91476.7256626012
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	69698.8505154467
UNINTEGRATED|g__Dialister.s__Dialister_invisus	66645.1601446949
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	64743.8995651116
UNINTEGRATED|g__Blautia.s__Blautia_sp	51838.5135406667
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	50452.2702932656
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	34339.1553252276
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	30797.3427449376
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	30435.9787266618
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	25729.0005600773
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	24462.5133749429
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	18192.2134607796
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	17296.1729849647
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	17241.2109045157
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	16533.5307668326
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	14855.6513068509
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	13845.6214434680
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	12334.9877350422
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	11775.8725554813
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	7031.0881464451
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	6308.5892842300
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	6065.0038514266
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	5949.9040688034
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	5937.6644240962
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	5299.0542933728
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	5203.5654603076
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	5105.2893096282
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	4765.6655988025
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	4360.2167087631
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	3778.5970550727
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_182	3686.3236730707
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3359.6611726604
UNINTEGRATED|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	1831.3850752700
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	1813.5184538127
UNINTEGRATED|g__Clostridium.s__Clostridium_disporicum	1745.8182834252
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	1545.6611380519
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	1327.2504363172
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	1290.9454746369
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	752.6388503039
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	659.1646752972
PWY-1042: glycolysis IV	1138.5866610029
PWY-1042: glycolysis IV|unclassified	205.0541322552
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	121.9167029144
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	76.4336293613
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	72.4023720569
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	59.0558807809
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	27.8675909251
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	19.1066121536
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	13.1797264201
PWY-1042: glycolysis IV|g__Eggerthella.s__Eggerthella_lenta	12.1585640077
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp_CAG_52	8.5141573065
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.6807548470
PWY-7238: sucrose biosynthesis II	1097.6094234108
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	175.3239287207
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	131.2183408790
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	119.1534974586
PWY-7238: sucrose biosynthesis II|unclassified	112.6030730452
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp	60.9894530971
PWY-7238: sucrose biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	55.4385694630
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	53.5748832911
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	48.7912282630
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	44.8296396382
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	36.8655961349
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	21.6403305787
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	21.0764149422
PWY-7238: sucrose biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	10.6611590888
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp_CAG_52	10.4233457248
PWY-7238: sucrose biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	10.2593299212
