# Pathway	42-51-1B_Abundance
UNMAPPED	795759.1732959187
UNINTEGRATED	2269103.1945369127
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	961751.5169715754
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	331637.7362828887
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	257447.8249555980
UNINTEGRATED|unclassified	229043.2572591139
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	56340.7883924803
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	54842.9546487702
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	45747.8821574526
UNINTEGRATED|g__Blautia.s__Blautia_obeum	40624.9708225551
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	30401.3554780899
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	30239.1916390315
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	28206.9253739316
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	24544.5652326041
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	23729.3109843364
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum	20818.7978085260
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	18132.5813866123
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	12990.6723140381
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	11741.9332450357
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	11479.3705202730
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum	10885.2823991711
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	8241.0094947559
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	7349.2878122939
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	7083.5813557539
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	4748.8679419634
UNINTEGRATED|g__Blautia.s__Blautia_sp	4199.1806589086
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3553.1256770458
UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	2686.1075400015
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	2678.7459828345
UNINTEGRATED|g__Sellimonas.s__Sellimonas_intestinalis	2110.2514489407
UNINTEGRATED|g__Hungatella.s__Hungatella_effluvii	1856.4345277009
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	1793.0649279374
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	1195.3545334888
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	1728.0215311095
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	944.9117327397
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	160.9712146882
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	145.1868114372
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	130.4623412163
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	47.9069906179
