Domain	Phylum	Class	Order	Family	Genus	Species	1-MDcol002-5-2	11-MDCol002-label-12-on-bottle	14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4	15-MDcol004-3-1-pretreat	17-MDCOL006-3-1A	19-MDCOL006-3-2A	21-MDCOL006-2-pre-chemo-A	23-MDcol033-1A	25-MDcol036-1A	27-MDcol025-1B	28-7A-1-1	29-7A	3-MDcol002-5-1	30-8B	31-8B	33-6-2	36-40-1B	38-S-Swanson	40-MDCol002-7-43	42-51-1B	45-MDCOL005-1B	46-MDCOL015-1a	48-MDCOL039-1a	5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2	50-MDCOL027-1a	52-MDCOL021-1b	54-MDCOL028-1b	60-MDcol006-4-1A	63-MDcol003-3-2	65-MDCOL003-Post-Chemo-Collection-Cycle-1-A	66-MDCOL004-1A	68-MDCOL003-3-1-Before-Chemo-2-3A	7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3	70-MDCOL004-3-2-Post-Chemo-A	72-MDCOL003-4-1-4A-Before-Chemo-6	75-MDCOL053-1-1-1-Unknown	9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3
belong to a (non-viral) species with less than 0.01% of all reads	NA	NA	NA	NA	NA	NA	113701	134132	97899	178373	72992	75187	175624	82181	113595	129082	131289	85223	166432	47676	141638	111431	184977	248391	201514	126490	130515	147417	148938	63817	184381	63322	96238	110341	42537	86251	36755	67987	51037	16977	55369	97899	118268
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai	1110	1134	593	892	0	0	1215	0	921	911	775	0	879	318	1068	691	1503	2200	1883	628	0	602	953	470	7797	485	0	0	0	883	0	454	346	0	412	923	1047
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	0	562	0	771	0	0	0	0	0	0	0	0	0	0	596	434	0	0	0	0	0	901	0	0	876	1766	858	0	0	0	0	0	0	0	0	0	0
Viruses	NA	NA	NA	NA	NA	NA	321	360	2304	89197	219	401	543	37195	553	18590	872	792	655	490	608	284	551	2996	403	881	8711	337	5372	224	6160	63016	1804	354	13953	1944	5829	3239	161	4498	462	1266	810
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. SY8519	817	1107	2186	2358	0	0	0	674	1257	2166	997	531	1128	451	1783	1331	1341	3886	1692	894	1879	2074	2977	495	2925	1162	0	1244	0	2751	0	1583	422	0	841	1689	2112
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	902	1144	1745	1012	480	918	4085	3942	7169	1266	1001	538	1255	424	2114	1495	1624	2887	2028	1176	3141	6777	1558	462	1552	23697	1260	5747	0	1607	0	1159	407	0	964	816	1115
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter fastidiosus	661	794	0	0	0	0	0	1629	971	0	992	699	1268	345	1209	579	1121	3340	2050	930	25121	0	2441	449	9250	0	0	0	0	0	0	0	443	0	0	1489	554
Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Marinifilaceae	Marinifilum	uncultured Marinifilum sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	0	0	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5272	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Mogibacterium	Mogibacterium diversum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1431	0	0	0	2902	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. C1	1534	1540	858	1201	5657	3611	16637	2037	2607	1081	1166	636	1390	422	1186	2767	1208	33931	2374	1888	1148	11640	0	1000	3807	3092	3111	11099	0	761	0	489	847	0	0	623	660
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus ilei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus bicirculans (ex Wegman et al. 2014)	45880	27332	586	5295	0	0	0	745	1056	29524	39163	20639	39511	9137	42676	46383	53804	131948	28463	8434	0	4876	8552	2825	44037	635	0	1833	0	754	0	503	14387	0	426	5406	7053
Bacteria	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter	Caloranaerobacter azorensis	0	0	0	0	0	0	978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella jejuni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	489
Bacteria	Bacillota	Clostridia	Lachnospirales	Vallitaleaceae	Vallitalea	Vallitalea guaymasensis	0	0	0	723	0	0	0	0	0	0	0	0	0	0	615	486	0	905	0	0	0	881	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus porcorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	790	0	0	2832	0	0	0	0	0	0	0	0	0	0	8074	0
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium bornimense	0	0	669	0	1057	0	1830	0	0	0	0	0	0	0	638	598	0	972	0	0	1616	878	0	0	1302	0	0	0	0	489	0	0	0	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides faecis	0	636	0	0	0	0	0	638	0	1205	918	728	1628	0	0	0	1351	10231	2477	2522	1152	0	1789	785	0	0	0	0	0	0	0	0	474	0	0	924	1181
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes rhamnosivorans	768	819	1037	896	0	0	1493	0	1820	809	814	0	1021	0	1403	1211	1300	1690	1413	996	0	1979	1027	0	1113	698	767	1465	0	934	0	582	311	0	0	586	786
Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera massiliensis	0	0	0	0	0	0	0	0	60503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5792	0	1527	0	0	0	4552	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus rubneri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Macellibacteroides	uncultured Macellibacteroides sp.	0	579	0	0	0	0	0	0	0	0	804	652	1362	0	0	0	1202	6408	2342	1643	0	0	0	834	0	0	0	0	0	0	0	0	461	0	0	0	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc mesenteroides	0	0	0	0	1522	1456	885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc carnosum	0	0	0	0	1312	1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici	0	0	0	0	279755	249919	165528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	0	0	0	0	4087	3551	3393	0	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna	0	0	0	0	0	0	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8431	0	0	0	0	0	575	0	0	0	0	0
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp. 499	2366	2459	5539	5663	0	0	1734	1892	2888	5203	2167	1147	2456	1066	4050	2805	3831	14905	2548	1697	3237	3230	5011	964	5322	1359	0	3085	0	7553	0	5136	836	0	1928	2956	2647
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp. 831b	1956	2051	8694	5866	0	557	1422	2352	2261	4978	2076	1213	1993	1256	4099	2775	2351	20700	2997	2093	3697	2811	6266	1018	6616	962	0	3109	0	13001	0	17897	708	0	4194	3671	2319
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus albus	2695	2498	740	4001	0	0	0	0	0	1095	2116	1208	2475	730	3875	3336	3045	4787	4038	2493	0	3587	5366	1559	7708	0	0	1220	0	905	0	437	1001	0	0	2533	3676
Bacteria	Bacillota	Tissierellia	Tissierellales	Tepidimicrobiaceae	Keratinibaculum	Keratinibaculum paraultunense	0	0	0	0	0	0	3042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
