Domain	Phylum	Class	Order	Family	Genus	Species	1-MDcol002-5-2	11-MDCol002-label-12-on-bottle	14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4	15-MDcol004-3-1-pretreat	17-MDCOL006-3-1A	19-MDCOL006-3-2A	21-MDCOL006-2-pre-chemo-A	23-MDcol033-1A	25-MDcol036-1A	27-MDcol025-1B	28-7A-1-1	29-7A	3-MDcol002-5-1	30-8B	31-8B	33-6-2	36-40-1B	38-S-Swanson	40-MDCol002-7-43	42-51-1B	45-MDCOL005-1B	46-MDCOL015-1a	48-MDCOL039-1a	5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2	50-MDCOL027-1a	52-MDCOL021-1b	54-MDCOL028-1b	60-MDcol006-4-1A	63-MDcol003-3-2	65-MDCOL003-Post-Chemo-Collection-Cycle-1-A	66-MDCOL004-1A	68-MDCOL003-3-1-Before-Chemo-2-3A	7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3	70-MDCOL004-3-2-Post-Chemo-A	72-MDCOL003-4-1-4A-Before-Chemo-6	75-MDCOL053-1-1-1-Unknown	9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3
belong to a (non-viral) species with less than 0.01% of all reads	NA	NA	NA	NA	NA	NA	107510	128875	92791	160866	66562	69952	166779	74759	103900	117685	118836	78654	154682	42309	129571	103313	171345	234863	189502	115185	118140	134839	135318	60205	164777	56860	85864	101022	37472	75672	10878	63818	47845	2676	48410	88527	110766
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai	1062	1096	568	856	0	0	1156	0	872	843	710	477	828	294	982	635	1406	2094	1769	600	0	572	867	449	7126	464	0	0	0	807	51	425	329	0	377	846	998
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	0	0	0	733	0	0	0	0	0	0	0	0	0	0	546	395	0	0	0	0	0	851	0	0	794	1648	809	0	0	0	82	0	0	0	0	0	0
Viruses	NA	NA	NA	NA	NA	NA	297	343	2204	84395	203	382	520	34575	514	17332	790	737	612	448	569	260	513	2846	388	816	8264	317	4951	215	5659	58741	1693	242	13305	1695	3027	3053	152	725	406	1170	768
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. SY8519	753	1060	2081	2218	0	0	0	621	1146	1993	902	487	1068	396	1662	1230	1234	3697	1597	827	1787	1930	2703	462	2630	1060	0	1153	0	2534	104	1489	396	24	737	1557	2019
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	836	1093	1655	937	455	861	3894	3625	6632	1159	908	504	1192	387	1981	1360	1506	2760	1913	1098	2959	6296	1430	438	1403	21535	1179	5277	0	1480	76	1098	385	21	864	746	1065
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter fastidiosus	618	741	0	0	0	0	0	1498	899	0	896	646	1183	309	1127	554	1041	3196	1939	841	23392	0	2200	431	8284	0	0	0	0	0	0	0	416	0	0	1361	515
Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Marinifilaceae	Marinifilum	uncultured Marinifilum sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	0	0	864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4491	0	0	0	0	0	0	0	0
