Domain	Phylum	Class	Order	Family	Genus	Species	1-MDcol002-5-2	11-MDCol002-label-12-on-bottle	14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4	15-MDcol004-3-1-pretreat	17-MDCOL006-3-1A	19-MDCOL006-3-2A	21-MDCOL006-2-pre-chemo-A	23-MDcol033-1A	25-MDcol036-1A	27-MDcol025-1B	28-7A-1-1	29-7A	3-MDcol002-5-1	30-8B	31-8B	33-6-2	36-40-1B	38-S-Swanson	40-MDCol002-7-43	42-51-1B	45-MDCOL005-1B	46-MDCOL015-1a	48-MDCOL039-1a	5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2	50-MDCOL027-1a	52-MDCOL021-1b	54-MDCOL028-1b	60-MDcol006-4-1A	63-MDcol003-3-2	65-MDCOL003-Post-Chemo-Collection-Cycle-1-A	66-MDCOL004-1A	68-MDCOL003-3-1-Before-Chemo-2-3A	7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3	70-MDCOL004-3-2-Post-Chemo-A	72-MDCOL003-4-1-4A-Before-Chemo-6	75-MDCOL053-1-1-1-Unknown	9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3
belong to a (non-viral) species with less than 0.01% of all reads	NA	NA	NA	NA	NA	NA	107567	128946	92867	164303	66642	70074	166933	74818	104008	117792	118937	78699	154777	42339	129679	103400	171450	235039	189626	115278	118226	134994	135414	60250	164912	56900	86452	101341	37508	77198	33754	63548	47689	13449	48576	88590	110828
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai	1063	1096	568	856	0	0	1157	0	872	844	710	478	828	294	983	635	1406	2095	1769	600	0	572	867	449	7133	466	0	0	0	807	0	425	331	0	377	847	999
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	0	0	0	734	0	0	0	0	0	0	0	0	0	0	546	395	0	0	0	0	0	853	0	0	794	1650	810	0	0	0	0	0	0	0	0	0	0
Viruses	NA	NA	NA	NA	NA	NA	297	344	2207	84670	204	383	520	34634	515	17373	791	737	612	448	572	261	513	2850	388	818	8271	319	4953	215	5663	58791	1695	331	13311	1801	5560	3058	152	3811	416	1170	768
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. SY8519	754	1061	2083	2220	0	0	0	622	1147	1995	903	487	1068	396	1662	1231	1234	3699	1598	828	1787	1931	2704	462	2632	1061	0	1153	0	2536	0	1490	397	0	737	1560	2020
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	837	1093	1655	938	455	861	3895	3628	6639	1165	908	504	1193	387	1983	1360	1506	2764	1913	1098	2961	6302	1430	438	1403	21548	1187	5279	0	1480	0	1099	385	0	865	747	1068
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter fastidiosus	618	741	0	0	0	0	0	1498	899	0	896	646	1184	309	1128	554	1043	3197	1940	841	23418	0	2200	431	8292	0	0	0	0	0	0	0	416	0	0	1363	516
Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Marinifilaceae	Marinifilum	uncultured Marinifilum sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	0	0	865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4494	0	0	0	0	0	0	0	0
