#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/filtered-paired/3-MDcol002-5-1_S2_L002_R1_001.fastq.gz,demultiplexed/filtered-paired/3-MDcol002-5-1_S2_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/filtered-paired/3-MDcol002-5-1.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/filtered-paired/3-MDcol002-5-1.output.txt
#14533199 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	56.87736	
k__Bacteria|p__Bacteroidetes	2|976	40.08759	
k__Bacteria|p__Actinobacteria	2|201174	1.64723	
k__Bacteria|p__Proteobacteria	2|1224	1.3799	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00793	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	39.48603	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	34.49808	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	13.12538	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	3.16016	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.88785	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	1.85046	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.64723	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.73882	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.60156	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.38755	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.32064	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.25353	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.17148	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1693	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.13614	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.12097	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.07873	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.07825	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.0722	
k__Bacteria|p__Firmicutes|c__CFGB11916	2|1239|	0.06141	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.06082	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03153	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0284	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.01166	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01063	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.00793	
k__Bacteria|p__Firmicutes|c__CFGB30328	2|1239|	0.00227	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.00099	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	39.48603	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	33.26821	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002	2|1239||	13.12538	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	3.16016	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.88785	
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	1.85046	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.64723	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.73882	
k__Bacteria|p__Bacteroidetes|c__CFGB10477|o__OFGB10477	2|976||	0.60156	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.55477	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.41578	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.38755	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.32064	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.25932	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.25353	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.17148	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.1693	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.13614	
k__Bacteria|p__Firmicutes|c__CFGB74461|o__OFGB74461	2|1239||	0.12097	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.07873	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.07825	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.0722	
k__Bacteria|p__Firmicutes|c__CFGB11916|o__OFGB11916	2|1239||	0.06141	
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844	2|1239||	0.06082	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.03153	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.0284	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.01166	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.01063	
