#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/filtered-paired/36-40-1B_S15_L002_R1_001.fastq.gz,demultiplexed/filtered-paired/36-40-1B_S15_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/filtered-paired/36-40-1B.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/filtered-paired/36-40-1B.output.txt
#16832780 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	59.81444	
k__Bacteria|p__Bacteroidetes	2|976	38.57572	
k__Bacteria|p__Actinobacteria	2|201174	0.97629	
k__Bacteria|p__Proteobacteria	2|1224	0.6275	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00606	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	38.08664	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	36.07289	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	14.35589	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.92047	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	2.83525	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.69746	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.96597	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.48907	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.30028	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.29068	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.24283	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.15749	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.14343	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.1176	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.11758	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.03654	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.03491	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.02293	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.0219	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02153	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.01501	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.01472	
