#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/filtered-paired/5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2_S3_L002_R1_001.fastq.gz,demultiplexed/filtered-paired/5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2_S3_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/filtered-paired/5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/filtered-paired/5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.output.txt
#6564954 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	53.35089	
k__Bacteria|p__Firmicutes	2|1239	44.05916	
k__Bacteria|p__Actinobacteria	2|201174	1.88922	
k__Bacteria|p__Proteobacteria	2|1224	0.70074	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	53.35089	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	33.81914	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	4.81584	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.31307	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.88922	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.43295	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	1.36653	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.44826	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.25247	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.09328	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.07096	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.04983	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.03401	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03231	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.03124	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	53.35089	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	32.91779	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002	2|1239||	4.81584	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	2.31307	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.88922	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.43295	
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	1.36653	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.53898	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.44826	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.25247	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.24166	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.12071	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.09328	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.07096	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.04983	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.03401	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.03231	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.03124	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	52.98283	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	17.3381	
