#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/filtered-paired/70-MDCOL004-3-2-Post-Chemo-A_S35_L002_R1_001.fastq.gz,demultiplexed/filtered-paired/70-MDCOL004-3-2-Post-Chemo-A_S35_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/filtered-paired/70-MDCOL004-3-2-Post-Chemo-A.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/filtered-paired/70-MDCOL004-3-2-Post-Chemo-A.output.txt
#335502 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.65397	
k__Archaea	2157	1.34603	
k__Bacteria|p__Bacteroidetes	2|976	49.72225	
k__Bacteria|p__Firmicutes	2|1239	35.08011	
k__Bacteria|p__Verrucomicrobia	2|74201	10.12906	
k__Bacteria|p__Proteobacteria	2|1224	1.99851	
k__Bacteria|p__Actinobacteria	2|201174	1.72403	
k__Archaea|p__Euryarchaeota	2157|28890	1.34603	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	46.13477	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.83787	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	13.13914	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	10.12906	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	3.58748	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.90093	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.72403	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.34603	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.80515	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.29795	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.09759	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	46.13477	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	20.83787	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	13.13914	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	10.12906	
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	3.58748	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.90093	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.72403	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.34603	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.80515	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.29795	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.09759	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	39.79521	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	15.14597	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	2|1239|||	13.13914	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	10.12906	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	5.6919	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	3.85559	
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405|f__FGB4405	2|976|||	3.58748	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	1.90093	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.83202	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.72403	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.34603	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069	2|1239|||	0.80515	
