#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/filtered-paired/75-MDCOL053-1-1-1-Unknown_S37_L002_R1_001.fastq.gz,demultiplexed/filtered-paired/75-MDCOL053-1-1-1-Unknown_S37_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/filtered-paired/75-MDCOL053-1-1-1-Unknown.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/filtered-paired/75-MDCOL053-1-1-1-Unknown.output.txt
#8127202 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	96.43985	
k__Archaea	2157	3.56015	
k__Bacteria|p__Firmicutes	2|1239	63.55979	
k__Bacteria|p__Bacteroidetes	2|976	17.39187	
k__Bacteria|p__Actinobacteria	2|201174	11.02429	
k__Archaea|p__Euryarchaeota	2157|28890	3.56015	
k__Bacteria|p__Verrucomicrobia	2|74201	3.04933	
k__Bacteria|p__Proteobacteria	2|1224	0.92197	
k__Bacteria|p__Synergistetes	2|508458	0.35026	
k__Bacteria|p__Lentisphaerae	2|256845	0.14234	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	55.8833	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	13.12711	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.04176	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	3.56015	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.14519	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.95127	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.93957	
k__Bacteria|p__Bacteroidetes|c__CFGB1670	2|976|	2.84752	
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	1.389	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.15564	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	1.04296	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.86671	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.84348	
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.6809	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.55451	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.36713	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.35026	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.27177	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.22596	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.1545	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.14234	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.09806	
