#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/15-MDcol004-3-1-pretreat_S8_L002_R1_001.fastq.gz,demultiplexed/raw-paired/15-MDcol004-3-1-pretreat_S8_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/15-MDcol004-3-1-pretreat.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/15-MDcol004-3-1-pretreat.output.txt
#13087211 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.53561	
k__Archaea	2157	1.46439	
k__Bacteria|p__Firmicutes	2|1239	69.15028	
k__Bacteria|p__Bacteroidetes	2|976	21.38425	
k__Bacteria|p__Actinobacteria	2|201174	4.16833	
k__Bacteria|p__Proteobacteria	2|1224	1.82764	
k__Archaea|p__Euryarchaeota	2157|28890	1.46439	
k__Bacteria|p__Tenericutes	2|544448	1.21451	
k__Bacteria|p__Verrucomicrobia	2|74201	0.77645	
k__Bacteria|p__Bacteria_unclassified	2|	0.01416	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	52.98968	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.68425	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	5.13524	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	4.58776	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.37529	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	1.75091	
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	1.67992	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.66903	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.46439	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	1.21451	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.96646	
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0.90494	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.77645	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.48207	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.45209	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.40334	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.38806	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.35811	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.33193	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.28938	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.2859	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.27972	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.2177	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.20223	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.1424	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.13635	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.12325	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.11181	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.10301	
k__Bacteria|p__Firmicutes|c__CFGB74730	2|1239|	0.07764	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.0702	
k__Bacteria|p__Bacteroidetes|c__CFGB529	2|976|	0.04416	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.04367	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.03607	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.03338	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.03243	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02713	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.02414	
k__Bacteria|p__Firmicutes|c__CFGB13532	2|1239|	0.01768	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01621	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.01416	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.01356	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.01085	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00713	
k__Bacteria|p__Firmicutes|c__CFGB11739	2|1239|	0.00528	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.00513	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.00428	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00316	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.00255	
k__Bacteria|p__Firmicutes|c__CFGB74453	2|1239|	0.00242	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.00165	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.00093	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	51.09088	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	18.68425	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	5.13524	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	4.58776	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.02016	
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	1.75091	
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	1.67992	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.66903	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.46439	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	1.21451	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.96646	
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658	2|976||	0.90494	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.78758	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.77645	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.74121	
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	2|1239||	0.48207	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.45209	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.40334	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.38806	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.37002	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.35811	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.35514	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.33193	
k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035	2|1239||	0.28938	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.2859	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.27972	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.2177	
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898	2|1239||	0.20223	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.1424	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.13635	
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.12325	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.11181	
k__Bacteria|p__Firmicutes|c__CFGB74461|o__OFGB74461	2|1239||	0.10301	
k__Bacteria|p__Firmicutes|c__CFGB74730|o__OFGB74730	2|1239||	0.07764	
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	2|1239||	0.0702	
k__Bacteria|p__Bacteroidetes|c__CFGB529|o__OFGB529	2|976||	0.04416	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.04367	
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.03607	
k__Bacteria|p__Firmicutes|c__CFGB3043|o__OFGB3043	2|1239||	0.03338	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.03243	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.02713	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.02414	
k__Bacteria|p__Firmicutes|c__CFGB13532|o__OFGB13532	2|1239||	0.01768	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.01621	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989|o__OFGB2989	2|||	0.01416	
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.01356	
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918	2|1239||	0.01085	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.00713	
k__Bacteria|p__Firmicutes|c__CFGB11739|o__OFGB11739	2|1239||	0.00528	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.00513	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.00428	
k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183	2|1239||	0.00316	
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775	2|1239||	0.00255	
k__Bacteria|p__Firmicutes|c__CFGB74453|o__OFGB74453	2|1239||	0.00242	
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	2|1239||	0.00165	
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.00093	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	33.6766	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	14.67131	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	12.46223	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354	2|1239|||	5.13524	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	2|1239|||	4.58776	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	3.49356	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.02016	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	2.09712	
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405|f__FGB4405	2|976|||	1.75091	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.69857	
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926|f__FGB72926	2|1239|||	1.67992	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	1.66903	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.46439	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787|f__FGB1787	2|544448|||	1.21451	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.96646	
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658|f__FGB658	2|976|||	0.90494	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.78758	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.77645	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae	2|1239|186801|2508939|2508947	0.74121	
