#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/19-MDCOL006-3-2A_S10_L002_R1_001.fastq.gz,demultiplexed/raw-paired/19-MDCOL006-3-2A_S10_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/19-MDCOL006-3-2A.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/19-MDCOL006-3-2A.output.txt
#9841366 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	50.58323	
k__Bacteria|p__Actinobacteria	2|201174	45.11816	
k__Bacteria|p__Bacteroidetes	2|976	4.27769	
k__Bacteria|p__Proteobacteria	2|1224	0.02093	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	41.96876	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	32.10172	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.59269	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.27769	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.14939	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.32735	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.85619	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.67401	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.03126	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02093	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	41.96876	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	32.10172	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	15.5887	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.27769	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	2.82238	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.32735	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.85619	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.67401	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.27085	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.05616	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.03126	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.02093	
