#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/27-MDcol025-1B_S14_L002_R1_001.fastq.gz,demultiplexed/raw-paired/27-MDcol025-1B_S14_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/27-MDcol025-1B.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/27-MDcol025-1B.output.txt
#15103614 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	47.63648	
k__Bacteria|p__Bacteroidetes	2|976	37.85978	
k__Bacteria|p__Actinobacteria	2|201174	13.60383	
k__Bacteria|p__Proteobacteria	2|1224	0.51392	
k__Bacteria|p__Bacteria_unclassified	2|	0.38599	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	42.90916	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	37.85978	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.65774	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.94609	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.6415	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.55511	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.62468	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.48451	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.38599	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.34942	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.29672	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.2172	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.03767	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.01286	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.00748	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00697	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.00611	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00101	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	40.18135	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	37.85978	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	10.65774	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.64673	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	2.38024	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.6415	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.55511	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.62468	
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	0.48451	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989|o__OFGB2989	2|||	0.38599	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.34942	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.34757	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.29936	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.29672	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.2172	
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.03767	
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	2|1239||	0.01286	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.00748	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00697	
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491	2|1239||	0.00611	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.00101	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	29.20218	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	27.39346	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	10.65774	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	7.37256	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	7.04298	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	3.56006	
