#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/30-8B_S29_L002_R1_001.fastq.gz,demultiplexed/raw-paired/30-8B_S29_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/30-8B.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/30-8B.output.txt
#5681152 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	55.23215	
k__Bacteria|p__Firmicutes	2|1239	43.43886	
k__Bacteria|p__Actinobacteria	2|201174	0.7483	
k__Bacteria|p__Proteobacteria	2|1224	0.58069	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	55.16406	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	29.79263	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	9.24726	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.75384	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.56027	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.7483	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.74133	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.39249	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.1882	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.08606	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.0681	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.06458	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.05616	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.05512	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03504	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.03013	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.01333	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.00309	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	55.16406	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	29.45464	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002	2|1239||	9.24726	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.75384	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	1.56027	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.7483	
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	0.74133	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.39249	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.1882	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.16494	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.09891	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.08606	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.07413	
k__Bacteria|p__Bacteroidetes|c__CFGB10477|o__OFGB10477	2|976||	0.0681	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.06458	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.05616	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.05512	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.03504	
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844	2|1239||	0.03013	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.01333	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.00309	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	52.53946	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	15.66861	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	10.93007	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002|f__FGB3002	2|1239|||	9.24726	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	2.15066	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.99291	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.75384	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	1.56027	
