#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/50-MDCOL027-1a_S22_L002_R1_001.fastq.gz,demultiplexed/raw-paired/50-MDCOL027-1a_S22_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/50-MDCOL027-1a.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/50-MDCOL027-1a.output.txt
#12939076 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	97.3226	
k__Archaea	2157	2.6774	
k__Bacteria|p__Firmicutes	2|1239	76.59759	
k__Bacteria|p__Bacteroidetes	2|976	10.79718	
k__Bacteria|p__Actinobacteria	2|201174	3.85474	
k__Archaea|p__Euryarchaeota	2157|28890	2.6774	
k__Bacteria|p__Proteobacteria	2|1224	2.00863	
k__Bacteria|p__Verrucomicrobia	2|74201	1.96919	
k__Bacteria|p__Tenericutes	2|544448	1.48469	
k__Bacteria|p__Bacteria_unclassified	2|	0.49638	
k__Bacteria|p__Synergistetes	2|508458	0.11354	
k__Bacteria|p__Lentisphaerae	2|256845	0.00067	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	59.09833	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.38155	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	3.06367	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.84694	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.8164	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.6774	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.7467	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	1.59833	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.55682	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	1.48469	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.19215	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	1.0444	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.0078	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.91717	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.86939	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.57535	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.56953	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.5149	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.50271	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.49638	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.46413	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.42121	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.38362	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.36622	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.33152	
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.31528	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.25209	
k__Bacteria|p__Proteobacteria|c__CFGB2874	2|1224|	0.23774	
