#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/65-MDCOL003-Post-Chemo-Collection-Cycle-1-A_S32_L002_R1_001.fastq.gz,demultiplexed/raw-paired/65-MDCOL003-Post-Chemo-Collection-Cycle-1-A_S32_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.output.txt
#8454402 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	89.92618	
k__Bacteria|p__Fusobacteria	2|32066	6.9976	
k__Bacteria|p__Proteobacteria	2|1224	1.37785	
k__Bacteria|p__Synergistetes	2|508458	1.01449	
k__Bacteria|p__Actinobacteria	2|201174	0.68387	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.40658	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	9.84052	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	9.13055	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	6.9976	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	4.07086	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.22008	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	1.01449	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.68387	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.47767	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.15777	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	66.40658	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	9.84052	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	9.13055	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	6.9976	
