#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3_S4_L002_R1_001.fastq.gz,demultiplexed/raw-paired/7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3_S4_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.output.txt
#4028926 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	69.27781	
k__Bacteria|p__Bacteroidetes	2|976	27.39837	
k__Bacteria|p__Actinobacteria	2|201174	3.15842	
k__Bacteria|p__Proteobacteria	2|1224	0.15381	
k__Bacteria|p__Verrucomicrobia	2|74201	0.01159	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	45.82388	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.51992	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	12.22316	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	3.91252	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	3.87845	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.53942	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.15842	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	2.69203	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.40193	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.37468	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.1899	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.14042	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.07393	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.02873	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.01762	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0134	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.01159	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	45.44872	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	23.51992	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002	2|1239||	12.22316	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	3.91252	
k__Bacteria|p__Bacteroidetes|c__CFGB10477|o__OFGB10477	2|976||	3.87845	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.53942	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	3.15842	
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	2.69203	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.40193	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.37468	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.1899	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.16201	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.14042	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.11684	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.09632	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.07393	
