#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/raw-paired/72-MDCOL003-4-1-4A-Before-Chemo-6_S36_L002_R1_001.fastq.gz,demultiplexed/raw-paired/72-MDCOL003-4-1-4A-Before-Chemo-6_S36_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/raw-paired/72-MDCOL003-4-1-4A-Before-Chemo-6.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/raw-paired/72-MDCOL003-4-1-4A-Before-Chemo-6.output.txt
#6671680 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	79.21838	
k__Bacteria|p__Bacteroidetes	2|976	12.97629	
k__Bacteria|p__Fusobacteria	2|32066	3.58772	
k__Bacteria|p__Proteobacteria	2|1224	2.63711	
k__Bacteria|p__Actinobacteria	2|201174	1.5805	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	70.54238	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12.97629	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.08467	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.61781	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	3.58772	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.96116	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.56676	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.67595	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.61724	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.34939	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.01374	
k__Bacteria|p__Firmicutes|c__CFGB1362	2|1239|	0.00689	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	70.54238	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	12.97629	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.08467	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.61781	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	3.58772	
