#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-filtered-paired/15-MDcol004-3-1-pretreat_S8_L002_R1_001.fastq.gz,demultiplexed/trimmed-filtered-paired/15-MDcol004-3-1-pretreat_S8_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-filtered-paired/15-MDcol004-3-1-pretreat.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-filtered-paired/15-MDcol004-3-1-pretreat.output.txt
#11533804 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.4634	
k__Archaea	2157	1.5366	
k__Bacteria|p__Firmicutes	2|1239	69.03306	
k__Bacteria|p__Bacteroidetes	2|976	21.475	
k__Bacteria|p__Actinobacteria	2|201174	4.13113	
k__Bacteria|p__Proteobacteria	2|1224	1.7975	
k__Archaea|p__Euryarchaeota	2157|28890	1.5366	
k__Bacteria|p__Tenericutes	2|544448	1.24088	
k__Bacteria|p__Verrucomicrobia	2|74201	0.77255	
k__Bacteria|p__Bacteria_unclassified	2|	0.01329	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	52.96949	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.77902	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	5.151	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	4.55491	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.34862	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	1.75064	
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	1.67281	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.64293	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.5366	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	1.24088	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.96486	
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0.9055	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.77255	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.47716	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.44989	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.40367	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.37353	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.35893	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.33403	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.28402	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.27857	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.27521	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.21525	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.19736	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.1393	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.13216	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.11737	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.10934	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.10052	
k__Bacteria|p__Firmicutes|c__CFGB74730	2|1239|	0.07845	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.06917	
k__Bacteria|p__Bacteroidetes|c__CFGB529	2|976|	0.03985	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.03826	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.03583	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.032	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.03076	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02671	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.02147	
k__Bacteria|p__Firmicutes|c__CFGB13532	2|1239|	0.0156	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01527	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.01359	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.01329	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.01169	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00577	
k__Bacteria|p__Firmicutes|c__CFGB11739	2|1239|	0.00354	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00321	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.00304	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.00231	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.00161	
k__Bacteria|p__Firmicutes|c__CFGB74453	2|1239|	0.00113	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.001	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.00037	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	51.11545	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	18.77902	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	5.151	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	4.55491	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.02814	
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	1.75064	
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	1.67281	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.64293	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.5366	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	1.24088	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.96486	
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658	2|976||	0.9055	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.77255	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.76043	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.72993	
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	2|1239||	0.47716	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.44989	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.40367	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.37353	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.36369	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.35893	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.33403	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.32049	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.28402	
k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035	2|1239||	0.27857	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.27521	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.21525	
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898	2|1239||	0.19736	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.1393	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.13216	
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.11737	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.10934	
