#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-filtered-paired/38-S-Swanson_S16_L002_R1_001.fastq.gz,demultiplexed/trimmed-filtered-paired/38-S-Swanson_S16_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-filtered-paired/38-S-Swanson.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-filtered-paired/38-S-Swanson.output.txt
#16227887 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	95.08771	
k__Bacteria|p__Bacteroidetes	2|976	4.34094	
k__Bacteria|p__Actinobacteria	2|201174	0.56439	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00695	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	71.84738	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	13.57528	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.40027	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	2.63708	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.45254	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.91215	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.15301	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.94067	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.56439	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.4942	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.28986	
k__Bacteria|p__Firmicutes|c__CFGB11257	2|1239|	0.18605	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.15754	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.14801	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.08056	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04594	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.03123	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.02888	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.02727	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.01297	
k__Bacteria|p__Firmicutes|c__CFGB11916	2|1239|	0.00775	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.00695	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	71.34345	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002	2|1239||	13.57528	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.40027	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	2.63708	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.45254	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	1.91215	
