#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-filtered-paired/45-MDCOL005-1B_S19_L002_R1_001.fastq.gz,demultiplexed/trimmed-filtered-paired/45-MDCOL005-1B_S19_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-filtered-paired/45-MDCOL005-1B.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-filtered-paired/45-MDCOL005-1B.output.txt
#14068881 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.99644	
k__Eukaryota	2759	0.00356	
k__Bacteria|p__Firmicutes	2|1239	47.52381	
k__Bacteria|p__Bacteroidetes	2|976	23.0665	
k__Bacteria|p__Proteobacteria	2|1224	19.62382	
k__Bacteria|p__Actinobacteria	2|201174	9.7823	
k__Eukaryota|p__Ascomycota	2759|4890	0.00356	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	25.99151	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.0665	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	19.64955	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	19.52354	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.76417	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.45935	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.58077	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.43736	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.14348	
k__Bacteria|p__Firmicutes|c__CFGB3011	2|1239|	0.13608	
k__Bacteria|p__Proteobacteria|c__CFGB2397	2|1224|	0.10028	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06504	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04454	
k__Bacteria|p__Firmicutes|c__CFGB9781	2|1239|	0.02824	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.00356	
k__Bacteria|p__Firmicutes|c__CFGB74494	2|1239|	0.00344	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.00139	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.00119	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	25.96673	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	23.0665	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	19.52354	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	18.73556	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	8.75071	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.45935	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.91399	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.58077	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.43736	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.14348	
