#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-filtered-paired/46-MDCOL015-1a_S20_L002_R1_001.fastq.gz,demultiplexed/trimmed-filtered-paired/46-MDCOL015-1a_S20_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-filtered-paired/46-MDCOL015-1a.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-filtered-paired/46-MDCOL015-1a.output.txt
#9570717 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	80.34254	
k__Bacteria|p__Bacteroidetes	2|976	15.25526	
k__Bacteria|p__Actinobacteria	2|201174	4.01485	
k__Bacteria|p__Proteobacteria	2|1224	0.38287	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00448	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	34.73166	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	28.31373	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	15.25526	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	7.48657	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.73092	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.99732	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.47678	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.77954	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.34407	
k__Bacteria|p__Firmicutes|c__CFGB74453	2|1239|	0.20997	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.19762	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.16976	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.08532	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.06725	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.04625	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.03879	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.02702	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.01754	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01651	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.00448	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.00365	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	32.92491	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002	2|1239||	28.31373	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	15.25526	
k__Bacteria|p__Firmicutes|c__CFGB74461|o__OFGB74461	2|1239||	7.48657	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.73092	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.99732	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	2.47678	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.5279	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.77954	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.34407	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.27884	
k__Bacteria|p__Firmicutes|c__CFGB74453|o__OFGB74453	2|1239||	0.20997	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.19762	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.16976	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.08532	
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	2|1239||	0.06725	
k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183	2|1239||	0.04625	
