#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-filtered-paired/66-MDCOL004-1A_S33_L002_R1_001.fastq.gz,demultiplexed/trimmed-filtered-paired/66-MDCOL004-1A_S33_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-filtered-paired/66-MDCOL004-1A.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-filtered-paired/66-MDCOL004-1A.output.txt
#922393 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.02869	
k__Archaea	2157	1.97131	
k__Bacteria|p__Firmicutes	2|1239	46.95149	
k__Bacteria|p__Bacteroidetes	2|976	43.79258	
k__Bacteria|p__Verrucomicrobia	2|74201	3.94599	
k__Bacteria|p__Proteobacteria	2|1224	2.05019	
k__Archaea|p__Euryarchaeota	2157|28890	1.97131	
k__Bacteria|p__Actinobacteria	2|201174	0.91913	
k__Bacteria|p__Tenericutes	2|544448	0.36931	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	38.6299	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	36.2879	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	6.78586	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	4.35657	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.94599	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.97131	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.47966	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.13801	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.91913	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.91218	
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0.80612	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.78536	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.75497	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.38525	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.36931	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.32041	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.15208	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	38.6299	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	34.87423	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	6.78586	
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	4.35657	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	3.94599	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.97131	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	1.47966	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	1.31404	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.13801	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.91913	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.91218	
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658	2|976||	0.80612	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.78536	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.75497	
