#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-paired/11-MDCol002-label-12-on-bottle_S6_L002_R1_001.fastq.gz,demultiplexed/trimmed-paired/11-MDCol002-label-12-on-bottle_S6_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-paired/11-MDCol002-label-12-on-bottle.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-paired/11-MDCol002-label-12-on-bottle.output.txt
#10442259 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	65.30732	
k__Bacteria|p__Bacteroidetes	2|976	31.37236	
k__Bacteria|p__Actinobacteria	2|201174	2.50717	
k__Bacteria|p__Proteobacteria	2|1224	0.80197	
k__Bacteria|p__Verrucomicrobia	2|74201	0.01117	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.03369	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	31.19711	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	11.59032	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	6.55646	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	4.11424	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.03863	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.50022	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.49921	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.39129	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.28847	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.26745	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.25077	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.24679	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.21555	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.2057	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.19513	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.17525	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.0972	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.07567	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.01824	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.01117	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.01055	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.00928	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.00695	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.00464	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	37.04438	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	31.19711	
k__Bacteria|p__Firmicutes|c__CFGB3002|o__OFGB3002	2|1239||	11.59032	
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	6.55646	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	4.11424	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.03863	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.50022	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.49921	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	2|1239|186801|2508939	0.49719	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.39129	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.28847	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.26745	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.25077	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.24832	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.24679	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.24379	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.21555	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.2057	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.19513	
k__Bacteria|p__Bacteroidetes|c__CFGB10477|o__OFGB10477	2|976||	0.17525	
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844	2|1239||	0.0972	
