#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-paired/28-7A-1-1_S27_L002_R1_001.fastq.gz,demultiplexed/trimmed-paired/28-7A-1-1_S27_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-paired/28-7A-1-1.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-paired/28-7A-1-1.output.txt
#11837436 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	49.34743	
k__Bacteria|p__Bacteroidetes	2|976	48.92358	
k__Bacteria|p__Actinobacteria	2|201174	1.13487	
k__Bacteria|p__Proteobacteria	2|1224	0.58488	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00923	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	48.76719	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	30.1963	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	12.47414	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.38172	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.30316	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.13487	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	1.03413	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.30002	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.28486	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.22221	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.18435	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.1564	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.13301	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.09856	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.0635	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.05585	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.05222	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.04944	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.03949	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02052	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.01519	
