#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-paired/33-6-2_S31_L002_R1_001.fastq.gz,demultiplexed/trimmed-paired/33-6-2_S31_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-paired/33-6-2.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-paired/33-6-2.output.txt
#7127931 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	88.28636	
k__Bacteria|p__Bacteroidetes	2|976	9.02625	
k__Bacteria|p__Actinobacteria	2|201174	2.51459	
k__Bacteria|p__Proteobacteria	2|1224	0.17281	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.65387	
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	27.54088	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.90449	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	5.35107	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	4.63977	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.51459	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	1.82628	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.29282	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.26089	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.18053	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.1296	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12228	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.12175	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.11265	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.1074	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.10226	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.06016	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.02336	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.01889	
