#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/choudhurya/miniconda/envs/mpa/bin/metaphlan demultiplexed/trimmed-paired/48-MDCOL039-1a_S21_L002_R1_001.fastq.gz,demultiplexed/trimmed-paired/48-MDCOL039-1a_S21_L002_R2_001.fastq.gz --bowtie2db /data/choudhurya/BowtieDB_new --bowtie2out MetaphlanAnalysis/BowTieOutput/trimmed-paired/48-MDCOL039-1a.bowtie2.bz2 --input_type fastq --nproc 28 -o MetaphlanAnalysis/Output/trimmed-paired/48-MDCOL039-1a.output.txt
#13174132 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.97098	
k__Archaea	2157	1.02902	
k__Bacteria|p__Firmicutes	2|1239	59.14298	
k__Bacteria|p__Bacteroidetes	2|976	35.36506	
k__Bacteria|p__Verrucomicrobia	2|74201	2.29757	
k__Bacteria|p__Actinobacteria	2|201174	1.67781	
k__Archaea|p__Euryarchaeota	2157|28890	1.02902	
k__Bacteria|p__Proteobacteria	2|1224	0.47961	
k__Bacteria|p__Bacteria_unclassified	2|	0.00796	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	52.08826	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	35.31634	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.29757	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.27757	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.15399	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.07654	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.02902	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.00758	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.73481	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.6296	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.5467	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.53386	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.39609	
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.36439	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.33361	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.23258	
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.16943	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.09732	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.09552	
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.0925	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.08053	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07991	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.07384	
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.04872	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03939	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.03508	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.03123	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.03113	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.02531	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02512	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.01575	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.01098	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00912	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.00796	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.00497	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00403	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00361	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	50.93306	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	35.31634	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	2.29757	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.26487	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	1.15399	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.02902	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	1.00758	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.87845	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.78661	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.73481	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.6296	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.5467	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.53386	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.39609	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.36859	
k__Bacteria|p__Firmicutes|c__CFGB74461|o__OFGB74461	2|1239||	0.36439	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.29329	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.23258	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.19809	
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	0.16943	
k__Bacteria|p__Firmicutes|c__CFGB1814|o__OFGB1814	2|1239||	0.09732	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.09552	
k__Bacteria|p__Firmicutes|c__CFGB72939|o__OFGB72939	2|1239||	0.0925	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.08053	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.07991	
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915	2|1239||	0.07384	
k__Bacteria|p__Bacteroidetes|c__CFGB10477|o__OFGB10477	2|976||	0.04872	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.04032	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.03939	
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.03508	
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881	2|1239||	0.03123	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	2|1239||	0.03113	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.02531	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.02512	
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.01575	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.01271	
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918	2|1239||	0.01098	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.00912	
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989|o__OFGB2989	2|||	0.00796	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.00497	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00403	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.00361	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	29.79704	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	24.13218	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	18.64174	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	3.87038	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	3.381	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.78658	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	2.29757	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.33049	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	1.26487	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	1.15399	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.02902	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2|1239|||	1.00758	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.87845	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.74534	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	2|1239|||	0.73481	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.73426	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.66797	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.6296	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.53386	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.52155	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.42182	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.39476	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.36859	
k__Bacteria|p__Firmicutes|c__CFGB74461|o__OFGB74461|f__FGB74461	2|1239|||	0.36439	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.34528	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.29329	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107	2|201174|||	0.23258	
